year,activity,ptf,index
2005,Transporte y comunicaciones,,100
2006,Transporte y comunicaciones,0.844033398247376,100.8476054026985
2007,Transporte y comunicaciones,-1.266182576094153,99.57874061926425
2008,Transporte y comunicaciones,-0.7215951766155886,98.86277153591095
2009,Transporte y comunicaciones,-4.614811382471736,94.40411172565608
2010,Transporte y comunicaciones,1.395843991272702,95.7310855434987
2011,Transporte y comunicaciones,2.363843860762408,98.02097703467712
2012,Transporte y comunicaciones,0.001877170370519821,98.02281707268517
2013,Transporte y comunicaciones,3.086188211600319,101.09515084795991
2014,Transporte y comunicaciones,-0.2565072206131145,100.8361667847572
2015,Transporte y comunicaciones,-0.8220538651203575,100.01063697702466
2016,Transporte y comunicaciones,-0.2149464472042305,99.79589853501999
2017,Transporte y comunicaciones,0.477430042363971,100.27349331897418
2018,Transporte y comunicaciones,1.394856333770233,101.68196473175541
2019,Transporte y comunicaciones,0.06996641145780869,101.75313284756314
2020,Transporte y comunicaciones,-1.071150570203915,100.66902018989792
2021,Transporte y comunicaciones,0.3587370035522532,101.03080575779381
2022,Transporte y comunicaciones,2.453327082308974,103.54007632849131
2023,Transporte y comunicaciones,-2.502589639302834,100.98104765658877
2024,Transporte y comunicaciones,1.149510533655444,102.14853276285447
2005,Finanzas e inmobiliarias,,100
2006,Finanzas e inmobiliarias,1.429880416572186,101.44015210583323
2007,Finanzas e inmobiliarias,-5.517098662999077,95.99518207827649
2008,Finanzas e inmobiliarias,-3.130106145545206,93.03697009548115
2009,Finanzas e inmobiliarias,1.781420136174772,94.70919991149407
2010,Finanzas e inmobiliarias,-0.8755149188567843,93.88362602155327
2011,Finanzas e inmobiliarias,-0.6831860217051045,93.24441220785305
2012,Finanzas e inmobiliarias,-0.8943863385913149,92.4141652656467
2013,Finanzas e inmobiliarias,-1.923851305058301,90.65324717625172
2014,Finanzas e inmobiliarias,0.5090571564940483,91.11590060469376
2015,Finanzas e inmobiliarias,1.61209709700093,92.59668113387481
2016,Finanzas e inmobiliarias,-3.575045430069326,89.34478248911488
2017,Finanzas e inmobiliarias,-0.9114071366321785,88.53418728764565
2018,Finanzas e inmobiliarias,-0.06093497941928661,88.48025543219417
2019,Finanzas e inmobiliarias,0.1063362877133422,88.57439209302495
2020,Finanzas e inmobiliarias,0.6845146278142356,89.18277662842998
2021,Finanzas e inmobiliarias,-6.700988681017407,83.40248015623173
2022,Finanzas e inmobiliarias,0.28125281628314,83.63738215992585
2023,Finanzas e inmobiliarias,-0.1634304909659878,83.5008048105464
2024,Finanzas e inmobiliarias,0.4076931953080921,83.8419268028688
2005,Servicios sociales,,100
2006,Servicios sociales,3.130162672033309,103.17966744024432
2007,Servicios sociales,-2.698907028364784,100.432186889021
2008,Servicios sociales,1.422997835512152,101.8715515100399
2009,Servicios sociales,0.5441217409924994,102.42736755633693
2010,Servicios sociales,0.1625002093923058,102.59394755285622
2011,Servicios sociales,1.07900877130184,103.70693908549916
2012,Servicios sociales,1.397321476764957,105.16623016819631
2013,Servicios sociales,-0.3560353916220773,104.79246692829248
2014,Servicios sociales,-1.682766849357254,103.04380822254515
2015,Servicios sociales,1.366675099229038,104.4617495461177
2016,Servicios sociales,-0.2901764827156512,104.1590654868693
2017,Servicios sociales,3.203928254913168,107.55028321771904
